raw_pattern,normalized_location,lat,lng,notes
zurigo,Svizzera,46.0037,8.9511,Paese estero - hub Svizzera (Lugano/Ticino per zoom ottimale mappa)
zurich,Svizzera,46.0037,8.9511,Paese estero - hub Svizzera (Lugano/Ticino per zoom ottimale mappa)
oberbuchsiten,Svizzera,46.0037,8.9511,Paese estero (Canton Soletta) convoglia su hub Svizzera
ch,Svizzera,46.0037,8.9511,Sigla Svizzera convoglia su hub Svizzera
svizzera,Svizzera,46.0037,8.9511,Paese estero convoglia su hub Svizzera
switzerland,Svizzera,46.0037,8.9511,Paese estero convoglia su hub Svizzera
castel guelfo,Bologna,44.4949,11.3426,Comune prov. BO convoglia su Bologna
bulaggna,Bologna,44.4949,11.3426,Dialetto bolognese convoglia su Bologna
bologna,Bologna,44.4949,11.3426,Capoluogo / Città Metropolitana
arzenta,Ferrara,44.8381,11.6198,Dialetto romagnolo/ferrarese convoglia su Ferrara
argenta,Ferrara,44.8381,11.6198,Comune prov. FE convoglia su Ferrara
conselice,Ravenna,44.4178,12.2035,Comune prov. RA convoglia su Ravenna
san patrizio,Ravenna,44.4178,12.2035,Frazione prov. RA convoglia su Ravenna
lugo,Ravenna,44.4178,12.2035,Comune prov. RA convoglia su Ravenna
faenza,Ravenna,44.4178,12.2035,Comune prov. RA convoglia su Ravenna
ravenna,Ravenna,44.4178,12.2035,Capoluogo di provincia
peroscia,Perugia,43.1107,12.3908,Dialetto perugino convoglia su Perugia
perugia,Perugia,43.1107,12.3908,Capoluogo di provincia
torino,Torino,45.0703,7.6869,Città Metropolitana di Torino
roma,Roma,41.9028,12.4964,Città Metropolitana di Roma
milano,Milano,45.4642,9.1900,Città Metropolitana di Milano
san marino,Rimini,44.0594,12.5683,RSM convoglia sul bacino Rimini / Riviera
rsm,Rimini,44.0594,12.5683,RSM convoglia sul bacino Rimini / Riviera
rimini,Rimini,44.0594,12.5683,Capoluogo di provincia
raiano,L'Aquila,42.3498,13.3995,Comune prov. AQ convoglia su L'Aquila / Abruzzo
aquila,L'Aquila,42.3498,13.3995,Capoluogo di provincia
fabriano,Ancona,43.6158,13.5189,Comune prov. AN convoglia su Ancona
ancona,Ancona,43.6158,13.5189,Capoluogo di provincia
fano,Pesaro e Urbino,43.8406,12.9142,Comune prov. PU convoglia su Pesaro e Urbino
pesaro,Pesaro e Urbino,43.9125,12.9155,Capoluogo di provincia
urbino,Pesaro e Urbino,43.7262,12.6366,Capoluogo di provincia
